Benchmark,Optimization,Avg Time (s),Std Dev (s),Speedup,P95 Time (s),P99 Time (s),Dynamic Instructions
quadratic,baseline,0.002039,0.000164,baseline,N/A,N/A,N/A
quadratic,--lvn,0.002512,0.000283,0.81x,N/A,N/A,N/A
quadratic,--dce,0.002477,0.000411,0.82x,N/A,N/A,N/A
quadratic,--loops,0.002373,0.000158,0.86x,N/A,N/A,N/A
quadratic,--lvn_--dce,0.002507,0.000962,0.81x,N/A,N/A,N/A
quadratic,--lvn_--dce_--loops,0.002466,0.000177,0.83x,N/A,N/A,N/A
montgomery,baseline,0.002399,0.000165,baseline,N/A,N/A,N/A
montgomery,--lvn,0.002372,0.000157,1.01x,N/A,N/A,N/A
montgomery,--dce,0.002375,0.000177,1.01x,N/A,N/A,N/A
montgomery,--loops,0.002388,0.000168,1.00x,N/A,N/A,N/A
montgomery,--lvn_--dce,0.002430,0.000167,0.99x,N/A,N/A,N/A
montgomery,--lvn_--dce_--loops,0.002465,0.000153,0.97x,N/A,N/A,N/A
primes-between,baseline,0.004732,0.000141,baseline,N/A,N/A,N/A
primes-between,--lvn,0.004725,0.000139,1.00x,N/A,N/A,N/A
primes-between,--dce,0.004758,0.000124,0.99x,N/A,N/A,N/A
primes-between,--loops,0.004433,0.000123,1.07x,N/A,N/A,N/A
primes-between,--lvn_--dce,0.004723,0.000118,1.00x,N/A,N/A,N/A
primes-between,--lvn_--dce_--loops,0.004468,0.000134,1.06x,N/A,N/A,N/A
mod_pow,baseline,0.002402,0.000139,baseline,N/A,N/A,N/A
mod_pow,--lvn,0.002459,0.000186,0.98x,N/A,N/A,N/A
mod_pow,--dce,0.002440,0.000146,0.98x,N/A,N/A,N/A
mod_pow,--loops,0.002434,0.000152,0.99x,N/A,N/A,N/A
mod_pow,--lvn_--dce,0.002513,0.000959,0.96x,N/A,N/A,N/A
mod_pow,--lvn_--dce_--loops,0.002435,0.000162,0.99x,N/A,N/A,N/A
orders,baseline,0.002470,0.000144,baseline,N/A,N/A,N/A
orders,--lvn,0.002442,0.000145,1.01x,N/A,N/A,N/A
orders,--dce,0.002455,0.000139,1.01x,N/A,N/A,N/A
orders,--loops,0.002438,0.000197,1.01x,N/A,N/A,N/A
orders,--lvn_--dce,0.002449,0.000148,1.01x,N/A,N/A,N/A
orders,--lvn_--dce_--loops,0.002413,0.000142,1.02x,N/A,N/A,N/A
sum-check,baseline,0.002394,0.000149,baseline,N/A,N/A,N/A
sum-check,--lvn,0.002430,0.000160,0.99x,N/A,N/A,N/A
sum-check,--dce,0.002452,0.000150,0.98x,N/A,N/A,N/A
sum-check,--loops,0.002410,0.000144,0.99x,N/A,N/A,N/A
sum-check,--lvn_--dce,0.002455,0.000170,0.98x,N/A,N/A,N/A
sum-check,--lvn_--dce_--loops,0.002436,0.000155,0.98x,N/A,N/A,N/A
palindrome,baseline,0.002389,0.000152,baseline,N/A,N/A,N/A
palindrome,--lvn,0.002413,0.000147,0.99x,N/A,N/A,N/A
palindrome,--dce,0.002401,0.000142,1.00x,N/A,N/A,N/A
palindrome,--loops,0.002430,0.000151,0.98x,N/A,N/A,N/A
palindrome,--lvn_--dce,0.002355,0.000160,1.01x,N/A,N/A,N/A
palindrome,--lvn_--dce_--loops,0.002450,0.000957,0.97x,N/A,N/A,N/A
rot13,baseline,0.002358,0.000148,baseline,N/A,N/A,N/A
rot13,--lvn,0.002359,0.000156,1.00x,N/A,N/A,N/A
rot13,--dce,0.002334,0.000145,1.01x,N/A,N/A,N/A
rot13,--loops,0.002358,0.000147,1.00x,N/A,N/A,N/A
rot13,--lvn_--dce,0.002344,0.000145,1.01x,N/A,N/A,N/A
rot13,--lvn_--dce_--loops,0.002333,0.000147,1.01x,N/A,N/A,N/A
totient,baseline,0.002414,0.000152,baseline,N/A,N/A,N/A
totient,--lvn,0.002406,0.000157,1.00x,N/A,N/A,N/A
totient,--dce,0.002429,0.000156,0.99x,N/A,N/A,N/A
totient,--loops,0.002400,0.000145,1.01x,N/A,N/A,N/A
totient,--lvn_--dce,0.002413,0.000148,1.00x,N/A,N/A,N/A
totient,--lvn_--dce_--loops,0.002443,0.000149,0.99x,N/A,N/A,N/A
fib_recursive,baseline,0.002385,0.000143,baseline,N/A,N/A,N/A
fib_recursive,--lvn,0.002404,0.000152,0.99x,N/A,N/A,N/A
fib_recursive,--dce,0.002377,0.000142,1.00x,N/A,N/A,N/A
fib_recursive,--loops,0.002444,0.000138,0.98x,N/A,N/A,N/A
fib_recursive,--lvn_--dce,0.002407,0.000139,0.99x,N/A,N/A,N/A
fib_recursive,--lvn_--dce_--loops,0.002517,0.000767,0.95x,N/A,N/A,N/A
hanoi,baseline,0.002133,0.000153,baseline,N/A,N/A,N/A
hanoi,--lvn,0.002512,0.000433,0.85x,N/A,N/A,N/A
hanoi,--dce,0.002455,0.000300,0.87x,N/A,N/A,N/A
hanoi,--loops,0.002348,0.000167,0.91x,N/A,N/A,N/A
hanoi,--lvn_--dce,0.002475,0.000849,0.86x,N/A,N/A,N/A
hanoi,--lvn_--dce_--loops,0.002453,0.000177,0.87x,N/A,N/A,N/A
is-decreasing,baseline,0.002385,0.000168,baseline,N/A,N/A,N/A
is-decreasing,--lvn,0.002375,0.000161,1.00x,N/A,N/A,N/A
is-decreasing,--dce,0.002421,0.000183,0.99x,N/A,N/A,N/A
is-decreasing,--loops,0.002425,0.000166,0.98x,N/A,N/A,N/A
is-decreasing,--lvn_--dce,0.002428,0.000165,0.98x,N/A,N/A,N/A
is-decreasing,--lvn_--dce_--loops,0.002447,0.000164,0.97x,N/A,N/A,N/A
graycode,baseline,0.002312,0.000136,baseline,N/A,N/A,N/A
graycode,--lvn,0.002314,0.000132,1.00x,N/A,N/A,N/A
graycode,--dce,0.002325,0.000129,0.99x,N/A,N/A,N/A
graycode,--loops,0.002374,0.000136,0.97x,N/A,N/A,N/A
graycode,--lvn_--dce,0.002340,0.000132,0.99x,N/A,N/A,N/A
graycode,--lvn_--dce_--loops,0.002359,0.000133,0.98x,N/A,N/A,N/A
grad_desc,baseline,0.002369,0.000150,baseline,N/A,N/A,N/A
grad_desc,--lvn,0.002380,0.000244,1.00x,N/A,N/A,N/A
grad_desc,--dce,0.002342,0.000149,1.01x,N/A,N/A,N/A
grad_desc,--loops,0.002334,0.000157,1.02x,N/A,N/A,N/A
grad_desc,--lvn_--dce,0.002472,0.000862,0.96x,N/A,N/A,N/A
grad_desc,--lvn_--dce_--loops,0.002378,0.000159,1.00x,N/A,N/A,N/A
check-primes,baseline,0.002428,0.000145,baseline,N/A,N/A,N/A
check-primes,--lvn,0.002396,0.000150,1.01x,N/A,N/A,N/A
check-primes,--dce,0.002458,0.000150,0.99x,N/A,N/A,N/A
check-primes,--loops,0.002342,0.000141,1.04x,N/A,N/A,N/A
check-primes,--lvn_--dce,0.002482,0.000229,0.98x,N/A,N/A,N/A
check-primes,--lvn_--dce_--loops,0.002415,0.000145,1.01x,N/A,N/A,N/A
sum-sq-diff,baseline,0.002417,0.000151,baseline,N/A,N/A,N/A
sum-sq-diff,--lvn,0.002409,0.000167,1.00x,N/A,N/A,N/A
sum-sq-diff,--dce,0.002409,0.000148,1.00x,N/A,N/A,N/A
sum-sq-diff,--loops,0.002451,0.000160,0.99x,N/A,N/A,N/A
sum-sq-diff,--lvn_--dce,0.002454,0.000157,0.98x,N/A,N/A,N/A
sum-sq-diff,--lvn_--dce_--loops,0.002413,0.000167,1.00x,N/A,N/A,N/A
fitsinside,baseline,0.002393,0.000149,baseline,N/A,N/A,N/A
fitsinside,--lvn,0.002363,0.000143,1.01x,N/A,N/A,N/A
fitsinside,--dce,0.002396,0.000148,1.00x,N/A,N/A,N/A
fitsinside,--loops,0.002324,0.000153,1.03x,N/A,N/A,N/A
fitsinside,--lvn_--dce,0.002397,0.000150,1.00x,N/A,N/A,N/A
fitsinside,--lvn_--dce_--loops,0.002461,0.000882,0.97x,N/A,N/A,N/A
hamming,baseline,0.002401,0.000154,baseline,N/A,N/A,N/A
hamming,--lvn,0.002398,0.000156,1.00x,N/A,N/A,N/A
